repo,issue_number,issue_title,issue_created_at,issue_closed_at,resolution_days,resolution_hours,resolution_minutes
run-llama/llama_index,19634,[Bug]: KeyError: 'embedding' while using OllamaEmbedding,2025-08-10 22:31:53,2025-08-10 22:46:31,0.010162037037037037,0.24388888888888888,14.633333333333333
run-llama/llama_index,9350,"[Bug]: ContextChatEngine user supplied system prompt is concatenated below the context, is it misplaced?",2023-12-06 18:09:21,2023-12-06 18:24:01,0.010185185185185186,0.24444444444444444,14.666666666666666
run-llama/llama_index,13205,[Bug]: todays released version v0.1.6 postgres vector store sqlalchemy.exc.ArgumentError: mapping or list expected for parameters,2024-05-01 21:29:48,2024-05-01 21:46:16,0.011435185185185185,0.27444444444444444,16.466666666666665
run-llama/llama_index,17565,[Question]: stream_chat with Bedrock and LangchainLLM wrapper doesn't seem to work while stream_complete does,2025-01-20 22:41:04,2025-01-20 22:57:41,0.011539351851851851,0.27694444444444444,16.616666666666667
run-llama/llama_index,18257,[Question]: Experiencing significant differences in the output from the LLamaIndex llm chat Api and OpenAI's direct api for image reasoning.,2025-03-24 16:55:37,2025-03-24 17:12:37,0.011805555555555555,0.2833333333333333,17.0
run-llama/llama_index,12703,[Bug]MilvusVectorStore output_fields can't be none,2024-04-10 16:14:08,2024-04-10 16:31:10,0.011828703703703704,0.2838888888888889,17.033333333333335
run-llama/llama_index,8982,[Bug]:  HierarchicalNodeParser no longer functionnal,2023-11-17 16:45:40,2023-11-17 17:03:10,0.012152777777777778,0.2916666666666667,17.5
run-llama/llama_index,15531,[Documentation]: Some links in tools guide are out-dated,2024-08-20 23:12:13,2024-08-20 23:31:31,0.013402777777777777,0.32166666666666666,19.3
run-llama/llama_index,15764,[Question]: Constraints on testing embedding packages due to __init__.py,2024-09-01 04:41:23,2024-09-01 05:01:26,0.01392361111111111,0.33416666666666667,20.05
run-llama/llama_index,9592,[Question]: no validator found for <class 'llama_index.agent.types.Task'> when initialising query engine,2023-12-18 19:33:38,2023-12-18 19:53:51,0.014039351851851851,0.33694444444444444,20.216666666666665
microsoft/semantic-kernel,9089,.Net: Bug: System.MissingMethodException in Microsoft.SemanticKernel.AzureOpenAIKernelBuilderExtensions.CreateAzureOpenAIClient during Service Initialization,2024-10-04 10:33:02,2024-10-04 10:53:22,0.01412037037037037,0.3388888888888889,20.333333333333332
run-llama/llama_index,10952,[Bug]: TypeError: GithubClient.get_branch() got an unexpected keyword argument 'timeout',2024-02-18 20:48:01,2024-02-18 21:08:58,0.014548611111111111,0.3491666666666667,20.95
deepset-ai/haystack,4558,Some links in readme resources are not working,2023-03-30 12:55:04,2023-03-30 13:17:02,0.01525462962962963,0.3661111111111111,21.966666666666665
run-llama/llama_index,17232,[Bug]: Can't migrate project to python 3.13 because of llama-index subdependency,2024-12-10 16:02:06,2024-12-10 16:24:47,0.015752314814814816,0.37805555555555553,22.683333333333334
run-llama/llama_index,8939,[Bug]: VectorStoreIndex.from_documents changes break examples,2023-11-16 01:47:53,2023-11-16 02:12:06,0.01681712962962963,0.4036111111111111,24.216666666666665
run-llama/llama_index,19463,[Bug]: load_kwargs causes error from LLM response in WikipediaToolSpec.load_data,2025-07-18 15:15:04,2025-07-18 15:41:02,0.018032407407407407,0.43277777777777776,25.966666666666665
letta-ai/letta,2056,Docker Compose startup issues: nginx configuration and database initialization,2024-11-18 03:02:34,2024-11-18 03:28:54,0.018287037037037036,0.4388888888888889,26.333333333333332
run-llama/llama_index,18465,[Bug]: llama-index-callbacks-arize-phoenix 0.5.0 requires Python <3.13,2025-04-15 20:58:51,2025-04-15 21:25:17,0.01835648148148148,0.44055555555555553,26.433333333333334
run-llama/llama_index,13087,[Bug]: TypeError: argument of type 'NoneType' is not iterable in Qdrant,2024-04-24 16:21:55,2024-04-24 16:49:29,0.019143518518518518,0.45944444444444443,27.566666666666666
microsoft/autogen,4257,Fix code scanning alert - SwaggerUI-Use,2024-11-18 17:36:09,2024-11-18 18:04:48,0.019895833333333335,0.4775,28.65
run-llama/llama_index,19656,[Bug]: unexpected keyword 'corpus_weight_mask' when loading BM25Retriever from persist,2025-08-13 03:09:42,2025-08-13 03:38:22,0.01990740740740741,0.4777777777777778,28.666666666666668
run-llama/llama_index,18406,[Bug]: Unintended Modification of built_in_tools in OpenAIResponses,2025-04-08 23:47:56,2025-04-09 00:16:38,0.019930555555555556,0.47833333333333333,28.7
microsoft/autogen,4870,OpenAI model client depends on azure,2024-12-31 19:54:50,2024-12-31 20:23:40,0.020023148148148148,0.48055555555555557,28.833333333333332
letta-ai/letta,1226,Support Python 3.12,2024-04-06 20:17:21,2024-04-06 20:46:24,0.02017361111111111,0.4841666666666667,29.05
run-llama/llama_index,15955,[Bug]: Unable to pass a synchronous client to OpenSearchVectorClient,2024-09-11 04:04:46,2024-09-11 04:35:46,0.021527777777777778,0.5166666666666667,31.0
microsoft/autogen,5186,Typo in dotnet/samples/Hello/HelloAIAgents/Program.cs,2025-01-24 18:55:02,2025-01-24 19:26:30,0.02185185185185185,0.5244444444444445,31.466666666666665
deepset-ai/haystack,4844,Check that base install succeeds on all platforms,2023-05-09 09:15:14,2023-05-09 09:46:55,0.022002314814814815,0.5280555555555555,31.683333333333334
microsoft/autogen,4490,"exceptions in Orleans storage - ""Orleans.Storage.MemoryGrainStorage: Error: Error from storage provider MemoryGrainStorage.state during WriteStateAsync for grain subscriptions/0(null)InconsistentStateException: e-Tag mismatch in Memory Storage.""",2024-12-03 16:39:06,2024-12-03 17:10:48,0.02201388888888889,0.5283333333333333,31.7
run-llama/llama_index,8817,[Bug]: CitationQueryEngine fails when node postprocessor requires a query_bundle argument,2023-11-09 21:27:15,2023-11-09 21:59:09,0.022152777777777778,0.5316666666666666,31.9
deepset-ai/haystack,2,Wrong offsets returned by FARMReader,2020-01-14 15:55:58,2020-01-14 16:28:30,0.02259259259259259,0.5422222222222223,32.53333333333333
langchain-ai/langchain,27426,Scheduled GitHub Actions Running on Forked Repositories,2024-10-17 13:58:13,2024-10-17 14:31:15,0.022939814814814816,0.5505555555555556,33.03333333333333
run-llama/llama_index,13900,[Documentation]: Property Graph Index,2024-06-03 01:02:32,2024-06-03 01:35:38,0.02298611111111111,0.5516666666666666,33.1
run-llama/llama_index,16867,[Bug]: cannot import name 'DataBricks' from 'llama_index.llms.databricks,2024-11-07 18:38:09,2024-11-07 19:11:35,0.023217592592592592,0.5572222222222222,33.43333333333333
run-llama/llama_index,18308,[Feature Request]: Add provider option to FastEmbed integration to allow running on GPU,2025-03-29 02:43:46,2025-03-29 03:17:55,0.023715277777777776,0.5691666666666667,34.15
run-llama/llama_index,9580,[Bug]: Metadata field not properly handled in Astra DB Integration,2023-12-18 15:09:57,2023-12-18 15:44:46,0.02417824074074074,0.5802777777777778,34.81666666666667
run-llama/llama_index,19278,[Bug]: IngestionCache does not support Node objects,2025-07-01 00:34:29,2025-07-01 01:09:34,0.024363425925925927,0.5847222222222223,35.083333333333336
microsoft/autogen,6601,Migrate AzureAIAgent (backed by Azure Foundry) to new SDK version,2025-05-27 17:16:38,2025-05-27 17:52:48,0.02511574074074074,0.6027777777777777,36.166666666666664
microsoft/semantic-kernel,9097,Process Framework: SubProcess integration,2024-10-04 21:39:04,2024-10-04 22:15:28,0.025277777777777777,0.6066666666666667,36.4
microsoft/semantic-kernel,11694,Bug: With new KernelProcessEventData serialization Sample 04 - Agent doenst work,2025-04-23 16:36:59,2025-04-23 17:13:53,0.025625,0.615,36.9
langchain-ai/langchain,10806,Error when using gpt-3.5-turbo-instruct: model_token_mapping is missing an entry for gpt-3.5-turbo-instruct,2023-09-19 23:26:18,2023-09-20 00:03:17,0.02568287037037037,0.6163888888888889,36.983333333333334
run-llama/llama_index,11629,[Bug]: Initialization of ClickHouseVectorStore failed,2024-03-05 02:56:16,2024-03-05 03:33:32,0.02587962962962963,0.6211111111111111,37.266666666666666
deepset-ai/haystack,5323,Deprecate `SklearnQueryClassifier`,2023-07-11 14:30:07,2023-07-11 15:07:25,0.025902777777777778,0.6216666666666667,37.3
microsoft/semantic-kernel,3774,.Net Native Function -> Method Function Missing Renaming,2023-11-30 12:54:39,2023-11-30 13:32:41,0.026412037037037036,0.6338888888888888,38.03333333333333
microsoft/semantic-kernel,4962,.Net: Microsoft Graph connector supports personal accounts only,2024-02-12 08:47:34,2024-02-12 09:25:44,0.026504629629629628,0.6361111111111111,38.166666666666664
run-llama/llama_index,10654,[Bug]: wrong import of OpenAIPydanticProgram,2024-02-13 15:01:50,2024-02-13 15:40:25,0.02679398148148148,0.6430555555555556,38.583333333333336
run-llama/llama_index,10036,[Feature Request]: KnowledgeGraphIndex not working with LLM 'solar' - triplet response parsing,2024-01-14 16:14:57,2024-01-14 16:54:58,0.027789351851851853,0.6669444444444445,40.016666666666666
deepset-ai/haystack,9283,Add `Toolset` to Agent's init tools parameter,2025-04-22 11:28:09,2025-04-22 12:08:35,0.028078703703703703,0.6738888888888889,40.43333333333333
run-llama/llama_index,15203,[Bug]:Perplexity LLM integration list outdated,2024-08-07 19:06:33,2024-08-07 19:47:39,0.028541666666666667,0.685,41.1
run-llama/llama_index,13851,[Bug]: minor doc issue with MLX,2024-05-31 03:14:09,2024-05-31 03:56:09,0.029166666666666667,0.7,42.0
run-llama/llama_index,13401,[Bug]: Some notebooks set OPENAI_API_TOKEN instead of OPENAI_API_KEY,2024-05-09 18:20:16,2024-05-09 19:03:14,0.029837962962962962,0.7161111111111111,42.96666666666667
microsoft/semantic-kernel,9234,.Net Agents - Include token usage for assistant tool-calls,2024-10-11 19:11:50,2024-10-11 19:55:21,0.030219907407407407,0.7252777777777778,43.516666666666666
langchain-ai/langchain,3157,Missing Observation and Thought prefix in output,2023-04-19 15:15:26,2023-04-19 16:00:12,0.031087962962962963,0.7461111111111111,44.766666666666666
run-llama/llama_index,16797,[Bug]: ModuleNotFoundError: No module named 'llama_index.llms.sambanova',2024-11-03 05:26:35,2024-11-03 06:12:13,0.031689814814814816,0.7605555555555555,45.63333333333333
microsoft/autogen,5710,uv.lock constantly breaks,2025-02-25 19:01:13,2025-02-25 19:47:22,0.03204861111111111,0.7691666666666667,46.15
langchain-ai/langchain,25413,create_sql_agent  ImportError: cannot import name 'ToolsRenderer' from 'langchain_core.tools' ,2024-08-14 21:43:18,2024-08-14 22:29:41,0.03221064814814815,0.7730555555555556,46.38333333333333
microsoft/autogen,608,Open100 achievements,2023-11-09 14:59:11,2023-11-09 15:45:43,0.03231481481481482,0.7755555555555556,46.53333333333333
langchain-ai/langchain,16389,Streaming broken for GPT4all,2024-01-22 17:07:32,2024-01-22 17:54:20,0.0325,0.78,46.8
deepset-ai/haystack,2905,`import haystack` fails on current master,2022-07-28 09:37:30,2022-07-28 10:25:33,0.033368055555555554,0.8008333333333333,48.05
langchain-ai/langchain,718,Namespaced pinecone operations cannot be re-used,2023-01-24 14:14:53,2023-01-24 15:02:59,0.03340277777777778,0.8016666666666666,48.1
letta-ai/letta,1470,`/pop` broken,2024-06-22 20:08:36,2024-06-22 20:57:28,0.033935185185185186,0.8144444444444444,48.86666666666667
deepset-ai/haystack,1332,Add Annotation FAQ to read.me,2021-08-10 12:06:01,2021-08-10 12:55:31,0.034375,0.825,49.5
microsoft/autogen,2652,[.Net][Bug]: Add instruction on adding dotnet-tool feed when installing AutoGen.DotnetInteractive package ,2024-05-10 21:56:01,2024-05-10 22:45:36,0.03443287037037037,0.8263888888888888,49.583333333333336
run-llama/llama_index,14848,"[Bug]: llama-index-multi-modal-llms-anthropic 0.1.4 requires anthropic<0.24.0,>=0.23.1, but you have anthropic 0.28.1 which is incompatible.",2024-07-19 15:56:37,2024-07-19 16:46:43,0.034791666666666665,0.835,50.1
deepset-ai/haystack,6028,`AnalyzeResult` Type Error in `AzureOCRDocumentConverter,2023-10-11 13:54:01,2023-10-11 14:44:11,0.034837962962962966,0.8361111111111111,50.166666666666664
microsoft/semantic-kernel,9233,.Net Agents - Full Code Interpreter Output Not Captured when Streaming,2024-10-11 19:05:10,2024-10-11 19:55:20,0.034837962962962966,0.8361111111111111,50.166666666666664
run-llama/llama_index,18974,[Bug]: Pandas 2.3.0 breaks build,2025-06-05 03:34:59,2025-06-05 04:25:28,0.03505787037037037,0.8413888888888889,50.483333333333334
run-llama/llama_index,18873,[Feature Request]: Add rows/cols retrievers parameter in NLSQLTableQueryEngine,2025-05-28 09:17:52,2025-05-28 10:10:00,0.0362037037037037,0.8688888888888889,52.13333333333333
run-llama/llama_index,10672,[Question]: FunctionComponent?,2024-02-13 20:29:15,2024-02-13 21:21:24,0.03621527777777778,0.8691666666666666,52.15
run-llama/llama_index,19324,[Bug]: Context restore validation error,2025-07-06 20:20:42,2025-07-06 21:13:06,0.03638888888888889,0.8733333333333333,52.4
microsoft/autogen,4267,OpenAIAssistant should be in autogen-ext module,2024-11-19 05:49:24,2024-11-19 06:42:12,0.03666666666666667,0.88,52.8
run-llama/llama_index,18737,"[Bug]: OpenAI LLM integration returns ""ValueError: Unsupported content block type: TextBlock""",2025-05-15 10:23:55,2025-05-15 11:17:22,0.03711805555555556,0.8908333333333334,53.45
microsoft/semantic-kernel,4310,.Net Add Missing Generic APIs for InvokePromptStreamingAsync<T>/ InvokePromptAsync<T>,2023-12-15 19:11:12,2023-12-15 20:04:56,0.037314814814814815,0.8955555555555555,53.733333333333334
run-llama/llama_index,18814,[Feature Request]: Allow sending no temperature to Ollama and let Ollama use default temperature for the model.,2025-05-22 16:32:36,2025-05-22 17:27:42,0.03826388888888889,0.9183333333333333,55.1
run-llama/llama_index,17239,[Bug]: Azure Databricks LLM Model Endpoints 400 - Bad Request,2024-12-11 00:30:18,2024-12-11 01:25:57,0.03864583333333333,0.9275,55.65
run-llama/llama_index,12420,[Bug]: Completion Tokens of acomplete and achat methods not correctly counted,2024-03-29 21:36:44,2024-03-29 22:35:46,0.04099537037037037,0.9838888888888889,59.03333333333333
microsoft/semantic-kernel,4235,OpenAIPromptExecutionSettings has incorrect default settings for Temperature and TopP,2023-12-13 17:34:39,2023-12-13 18:33:56,0.04116898148148148,0.9880555555555556,59.28333333333333
run-llama/llama_index,10297,[Feature Request]: Support for more than one relevant document in SentenceTransformersFinetuneEngine,2024-01-26 19:42:01,2024-01-26 20:42:15,0.0418287037037037,1.0038888888888888,60.233333333333334
microsoft/autogen,2650,[.Net][Bug]: Fix broken link in website,2024-05-10 21:45:07,2024-05-10 22:45:37,0.04201388888888889,1.0083333333333333,60.5
run-llama/llama_index,15885,[Documentation]: CypherTemplateRetriever Example Runtime Error,2024-09-06 17:32:59,2024-09-06 18:33:33,0.04206018518518519,1.0094444444444444,60.56666666666667
deepset-ai/haystack,7749,PDFMinerToDocument buggy output,2024-05-27 18:03:50,2024-05-27 19:04:41,0.042256944444444444,1.0141666666666667,60.85
deepset-ai/haystack,5141,Add support for gpt-3.5-turbo-16k and other new OpenAI models.,2023-06-14 06:51:48,2023-06-14 07:53:02,0.04252314814814815,1.0205555555555557,61.233333333333334
microsoft/autogen,6751,`GraphFlowManager` should not let `_StopAgent` speak and apply termination if no more ready agent,2025-07-06 06:55:30,2025-07-06 07:57:04,0.04275462962962963,1.0261111111111112,61.56666666666667
langchain-ai/langchain,7652,SQLite LLM cache clear does not take effect,2023-07-13 12:36:48,2023-07-13 13:39:06,0.043263888888888886,1.0383333333333333,62.3
deepset-ai/haystack,4684,`langdetect` is not optional,2023-04-17 08:33:11,2023-04-17 09:35:55,0.04356481481481481,1.0455555555555556,62.733333333333334
deepset-ai/haystack,1612,Default optimizer not working when training DensePassageRetriever,2021-10-19 13:15:10,2021-10-19 14:18:31,0.043993055555555556,1.0558333333333334,63.35
run-llama/llama_index,19136,[Bug]: Chain-of-Abstraction fails to replace placeholders in chained expressions,2025-06-19 01:29:27,2025-06-19 02:33:15,0.044305555555555556,1.0633333333333332,63.8
deepset-ai/haystack,7833,Docker workflow always fails on fork runs,2024-06-10 07:47:47,2024-06-10 08:51:42,0.04438657407407407,1.0652777777777778,63.916666666666664
microsoft/autogen,6304,Installing Task Centric Memory related dependency causes protobuf version conflicting error,2025-04-15 14:59:02,2025-04-15 16:04:02,0.04513888888888889,1.0833333333333333,65.0
langchain-ai/langchain,25784,"""expected string or buffer"" error thrown when an openai_functions_agent uses a tool and the response is streamed using .astream()",2024-08-27 19:13:07,2024-08-27 20:18:21,0.045300925925925925,1.0872222222222223,65.23333333333333
deepset-ai/haystack,3082,`test__get_vector_similarity_query_support_true` and `test__get_vector_similarity_query_support_false` for `OpenSearchDocumentStore` are flaky,2022-08-22 10:13:42,2022-08-22 11:19:46,0.04587962962962963,1.1011111111111112,66.06666666666666
letta-ai/letta,347,GPT-4-Turbo,2023-11-07 04:47:10,2023-11-07 05:53:50,0.046296296296296294,1.1111111111111112,66.66666666666667
langchain-ai/langchain,14904,Issue: cannot import name 'LLMContentHandler' from 'langchain.llms.sagemaker_endpoint,2023-12-19 13:53:31,2023-12-19 15:00:33,0.046550925925925926,1.1172222222222221,67.03333333333333
run-llama/llama_index,19467,[Bug]: AG-UI Router is printing all SSE messages to stdout,2025-07-18 21:03:01,2025-07-18 22:10:17,0.04671296296296296,1.1211111111111112,67.26666666666667
run-llama/llama_index,19363,[Bug]: Pydantic error for documentation example,2025-07-08 20:37:03,2025-07-08 21:44:22,0.046747685185185184,1.1219444444444444,67.31666666666666
microsoft/autogen,5012,Hello World code sample in README.md is not properly awaited,2025-01-12 07:56:49,2025-01-12 09:04:31,0.04701388888888889,1.1283333333333334,67.7
run-llama/llama_index,14640,[Bug]: `SimpleDirectoryReader` not functioning as expected.,2024-07-08 19:41:18,2024-07-08 20:50:09,0.0478125,1.1475,68.85
microsoft/semantic-kernel,6182,.Net: The OpenAITextEmbeddingGenerationService constructor that takes an OpenAIClient does not allow to set embedding dimensions,2024-05-10 14:59:37,2024-05-10 16:08:54,0.04811342592592593,1.1547222222222222,69.28333333333333
microsoft/semantic-kernel,3771,.Net Update remaining semantic function to prompt function in codebase,2023-11-30 12:09:50,2023-11-30 13:19:47,0.04857638888888889,1.1658333333333333,69.95
run-llama/llama_index,17035,[Bug]: llm.complete getting failed with Value error: Chat response object has no field usage while using ollama,2024-11-22 15:49:26,2024-11-22 16:59:40,0.04877314814814815,1.1705555555555556,70.23333333333333
run-llama/llama_index,12330,[Bug]: Newest versions of llama-index-agent-openai don't install,2024-03-27 15:47:29,2024-03-27 16:57:45,0.048796296296296296,1.1711111111111112,70.26666666666667
microsoft/autogen,4319,.NET Use tool call for next speaker selection,2024-11-22 20:40:13,2024-11-22 21:51:09,0.04925925925925926,1.1822222222222223,70.93333333333334
run-llama/llama_index,19397,[Bug]: SimpleWebReader adds URL as doc ID,2025-07-11 13:11:21,2025-07-11 14:22:40,0.049525462962962966,1.188611111111111,71.31666666666666
run-llama/llama_index,15597,[Question]: How do I resolve this issue when using a multimodal llm. I am on llama-index-core v0.11.0,2024-08-23 16:29:23,2024-08-23 17:41:27,0.0500462962962963,1.201111111111111,72.06666666666666
run-llama/llama_index,10121,[Feature Request]:  add chromadb vector store instance test.,2024-01-18 14:00:29,2024-01-18 15:13:29,0.050694444444444445,1.2166666666666666,73.0
run-llama/llama_index,18804,[Bug]: BaseNode/TextNode metadata unexpectedly overridden by extra_info field,2025-05-22 02:39:09,2025-05-22 03:52:41,0.05106481481481481,1.2255555555555555,73.53333333333333
run-llama/llama_index,9695,[Bug]: Chroma complains about null values in metadata,2023-12-26 01:20:39,2023-12-26 02:34:15,0.051111111111111114,1.2266666666666666,73.6
run-llama/llama_index,11820,[Bug]: The Cohere embedding isn't functioning properly,2024-03-11 14:46:26,2024-03-11 16:00:06,0.05115740740740741,1.2277777777777779,73.66666666666667
run-llama/llama_index,17693,[Bug]: o3-mini doesn't support max_tokens,2025-02-01 18:28:34,2025-02-01 19:43:09,0.05179398148148148,1.2430555555555556,74.58333333333333
run-llama/llama_index,10548,[Bug]: TypeError: object HeadApiResponse can't be used in 'await' expression,2024-02-09 15:06:49,2024-02-09 16:21:44,0.05202546296296296,1.2486111111111111,74.91666666666667
run-llama/llama_index,11614,AzureCosmosDBMongoDBVectorSearch class is imcompatible with the IngestionPipeline[Bug]: ,2024-03-04 14:58:28,2024-03-04 16:14:07,0.05253472222222222,1.2608333333333333,75.65
microsoft/semantic-kernel,11501,Demo sample UI App to interact with Cloud Events demo,2025-04-10 20:02:16,2025-04-10 21:19:21,0.053530092592592594,1.2847222222222223,77.08333333333333
deepset-ai/haystack,7341,init param overrides run param for metafieldranker,2024-03-11 10:35:41,2024-03-11 11:52:56,0.05364583333333333,1.2875,77.25
letta-ai/letta,235,/load pulls wrong file by default,2023-11-01 07:11:13,2023-11-01 08:28:33,0.053703703703703705,1.288888888888889,77.33333333333333
deepset-ai/haystack,8065,docs: clean up docstrings of DocumentWriter,2024-07-24 10:36:59,2024-07-24 11:54:40,0.05394675925925926,1.2947222222222223,77.68333333333334
deepset-ai/haystack,8141,Clean up LinkContentFetcher docstrings,2024-08-01 13:07:58,2024-08-01 14:27:32,0.05525462962962963,1.326111111111111,79.56666666666666
langchain-ai/langchain,1126,ChatVectorDB missing a useful arg: return_source_documents,2023-02-17 20:19:11,2023-02-17 21:40:53,0.05673611111111111,1.3616666666666666,81.7
microsoft/autogen,6628,Cycle detected without exit condition: generator -> reviewer -> generator,2025-06-05 03:11:24,2025-06-05 04:35:29,0.0583912037037037,1.4013888888888888,84.08333333333333
microsoft/semantic-kernel,2831,Conform to new error handling to better communicate failure,2023-09-14 21:18:14,2023-09-14 22:42:37,0.05859953703703704,1.406388888888889,84.38333333333334
run-llama/llama_index,18241,"[Bug]: LlamaIndex LLMs Ignore Pydantic Model Docs, System Prompt for Image & PDF Processing",2025-03-24 02:33:36,2025-03-24 03:59:23,0.05957175925925926,1.4297222222222221,85.78333333333333
microsoft/autogen,3710,"Python version for uv checks, tomllib [staging]",2024-10-09 19:15:32,2024-10-09 20:42:31,0.060405092592592594,1.4497222222222221,86.98333333333333
run-llama/llama_index,9859,[Feature Request]:  rename docker-compose file ,2024-01-05 15:14:50,2024-01-05 16:42:14,0.06069444444444445,1.4566666666666668,87.4
deepset-ai/haystack,9123,ci: review required jobs in `tests` workflow,2025-03-27 15:44:19,2025-03-27 17:12:28,0.06121527777777778,1.4691666666666667,88.15
run-llama/llama_index,16493,[Bug]: Qdrant fastembed sparse encoder model name typo,2024-10-10 19:47:01,2024-10-10 21:16:33,0.062175925925925926,1.4922222222222221,89.53333333333333
run-llama/llama_index,15772,[Feature Request]: add dimensions parameter to LiteLLMEmbedding,2024-09-01 20:03:08,2024-09-01 21:33:28,0.06273148148148149,1.5055555555555555,90.33333333333333
langchain-ai/langchain,8272,"not enough values to unpack (expected 2, got 1) while LabeledPairwiseStringEvalChain with evaluate_string_pairs",2023-07-26 07:20:57,2023-07-26 08:53:23,0.06418981481481481,1.5405555555555555,92.43333333333334
run-llama/llama_index,10653,[Bug]: Cannot import OpensearchVectorClient,2024-02-13 14:23:47,2024-02-13 15:56:46,0.06457175925925926,1.5497222222222222,92.98333333333333
deepset-ai/haystack,3812,`custom_query` does not support query inputs with line feeds.,2023-01-05 14:38:02,2023-01-05 16:13:06,0.06601851851851852,1.5844444444444445,95.06666666666666
run-llama/llama_index,15771,[Bug]: LiteLLMEmbedding cannot read credentials from env,2024-09-01 19:57:04,2024-09-01 21:33:28,0.06694444444444445,1.6066666666666667,96.4
run-llama/llama_index,15884,[Bug]: initializing llama-index with pgvector does not work,2024-09-06 16:56:43,2024-09-06 18:33:33,0.06724537037037037,1.613888888888889,96.83333333333333
deepset-ai/haystack,5579,Copy `LazyImport` to v2,2023-08-16 10:50:18,2023-08-16 12:27:19,0.06737268518518519,1.6169444444444445,97.01666666666667
deepset-ai/haystack,9025,Haystack 2.11.0 cannot deserialize 2.10 Document dictionaries obtained with `flatten=False`,2025-03-12 10:23:35,2025-03-12 12:01:04,0.06769675925925926,1.6247222222222222,97.48333333333333
microsoft/semantic-kernel,8691,Integration tests failing with: Response status code does not indicate success: 400 (Bad Request).,2024-09-12 09:24:46,2024-09-12 11:02:17,0.06771990740740741,1.6252777777777778,97.51666666666667
langchain-ai/langchain,26781,Pydantic Validation Error when loading an AmazonTextractPDF from an S3,2024-09-23 17:18:20,2024-09-23 18:55:58,0.06780092592592593,1.6272222222222221,97.63333333333334
letta-ai/letta,881,Allow deleting agents and modifying agents (at least modifying agent name) via frontend,2024-01-21 19:48:09,2024-01-21 21:26:06,0.06802083333333334,1.6325,97.95
microsoft/autogen,385,openai.InvalidRequestError -> openai.BadRequestError,2023-10-23 16:38:42,2023-10-23 18:16:49,0.06813657407407407,1.6352777777777778,98.11666666666666
